currency,rate,date
AED,4.212596,2025-06-22
AFN,81.361002,2025-06-22
ALL,97.442139,2025-06-22
AMD,442.629324,2025-06-22
ANG,2.05292,2025-06-22
AOA,1051.912726,2025-06-22
ARS,1335.827452,2025-06-22
AUD,1.783675,2025-06-22
AWG,2.064824,2025-06-22
AZN,1.950577,2025-06-22
BAM,1.946255,2025-06-22
BBD,2.315445,2025-06-22
BDT,140.252196,2025-06-22
BGN,1.946255,2025-06-22
BHD,0.432081,2025-06-22
BIF,3415.151928,2025-06-22
BMD,1.147124,2025-06-22
BND,1.473275,2025-06-22
BOB,7.92414,2025-06-22
BRL,6.32421,2025-06-22
BSD,1.146776,2025-06-22
BTC,1.1536797e-05,2025-06-22
BTN,99.27913,2025-06-22
BWP,15.456202,2025-06-22
BYN,3.752995,2025-06-22
BYR,22483.639138,2025-06-22
BZD,2.303603,2025-06-22
CAD,1.578271,2025-06-22
CDF,3300.276757,2025-06-22
CHF,0.938067,2025-06-22
CLF,0.028132,2025-06-22
CLP,1079.536384,2025-06-22
CNY,8.246101,2025-06-22
CNH,8.245703,2025-06-22
COP,4683.332708,2025-06-22
CRC,578.960748,2025-06-22
CUC,1.147124,2025-06-22
CUP,30.398798,2025-06-22
CVE,109.726894,2025-06-22
CZK,24.819754,2025-06-22
DJF,204.218503,2025-06-22
DKK,7.459727,2025-06-22
DOP,68.006493,2025-06-22
DZD,149.521738,2025-06-22
EGP,58.34533,2025-06-22
ERN,17.206867,2025-06-22
ETB,157.699136,2025-06-22
EUR,1.0,2025-06-22
FJD,2.59187,2025-06-22
FKP,0.852645,2025-06-22
GBP,0.855784,2025-06-22
GEL,3.120257,2025-06-22
GGP,0.852645,2025-06-22
GHS,11.812073,2025-06-22
GIP,0.852645,2025-06-22
GMD,82.02648,2025-06-22
GNF,9936.272038,2025-06-22
GTQ,8.813777,2025-06-22
GYD,239.923404,2025-06-22
HKD,9.004181,2025-06-22
HNL,29.951118,2025-06-22
HRK,7.521354,2025-06-22
HTG,150.511882,2025-06-22
HUF,403.249827,2025-06-22
IDR,18856.775777,2025-06-22
ILS,3.975013,2025-06-22
IMP,0.852645,2025-06-22
INR,99.318606,2025-06-22
IQD,1502.332488,2025-06-22
IRR,48322.617504,2025-06-22
ISK,142.369929,2025-06-22
JEP,0.852645,2025-06-22
JMD,182.813474,2025-06-22
JOD,0.81334,2025-06-22
JPY,168.236696,2025-06-22
KES,148.223107,2025-06-22
KGS,100.316214,2025-06-22
KHR,4596.458742,2025-06-22
KMF,490.339819,2025-06-22
KPW,1032.412,2025-06-22
KRW,1575.208652,2025-06-22
KWD,0.351433,2025-06-22
KYD,0.955713,2025-06-22
KZT,599.271145,2025-06-22
LAK,24741.665665,2025-06-22
LBP,102752.297723,2025-06-22
LKR,344.610016,2025-06-22
LRD,229.355231,2025-06-22
LSL,20.705459,2025-06-22
LTL,3.38716,2025-06-22
LVL,0.693884,2025-06-22
LYD,6.251343,2025-06-22
MAD,10.466969,2025-06-22
MDL,19.719296,2025-06-22
MGA,5124.8674,2025-06-22
MKD,61.229726,2025-06-22
MMK,2408.622004,2025-06-22
MNT,4110.159041,2025-06-22
MOP,9.272328,2025-06-22
MRU,45.331691,2025-06-22
MUR,52.331897,2025-06-22
MVR,17.671439,2025-06-22
MWK,1988.548063,2025-06-22
MXN,22.186499,2025-06-22
MYR,4.878146,2025-06-22
MZN,73.36988,2025-06-22
NAD,20.705459,2025-06-22
NGN,1778.169258,2025-06-22
NIO,42.203034,2025-06-22
NOK,11.604007,2025-06-22
NPR,158.847007,2025-06-22
NZD,1.928313,2025-06-22
OMR,0.44054,2025-06-22
PAB,1.146776,2025-06-22
PEN,4.118105,2025-06-22
PGK,4.794488,2025-06-22
PHP,65.58336,2025-06-22
PKR,325.401217,2025-06-22
PLN,4.272352,2025-06-22
PYG,9153.112689,2025-06-22
QAR,4.182588,2025-06-22
RON,5.011439,2025-06-22
RSD,116.657904,2025-06-22
RUB,90.309797,2025-06-22
RWF,1655.978998,2025-06-22
SAR,4.304242,2025-06-22
SBD,9.56751,2025-06-22
SCR,16.920403,2025-06-22
SDG,688.88626,2025-06-22
SEK,11.141429,2025-06-22
SGD,1.4787,2025-06-22
SHP,0.90146,2025-06-22
SLE,25.753088,2025-06-22
SLL,24054.63027,2025-06-22
SOS,655.385955,2025-06-22
SRD,44.565602,2025-06-22
STD,23743.159993,2025-06-22
SVC,10.034789,2025-06-22
SYP,14914.740549,2025-06-22
SZL,20.701479,2025-06-22
THB,37.750752,2025-06-22
TJS,11.324564,2025-06-22
TMT,4.014936,2025-06-22
TND,3.394752,2025-06-22
TOP,2.686681,2025-06-22
TRY,45.56356,2025-06-22
TTD,7.793779,2025-06-22
TWD,33.943179,2025-06-22
TZS,3044.768308,2025-06-22
UAH,48.063494,2025-06-22
UGX,4133.727996,2025-06-22
USD,1.147124,2025-06-22
UYU,46.890049,2025-06-22
UZS,14402.370075,2025-06-22
VES,117.645302,2025-06-22
VND,29972.641082,2025-06-22
VUV,137.548286,2025-06-22
WST,3.164469,2025-06-22
XAF,652.755853,2025-06-22
XAG,0.031864,2025-06-22
XAU,0.000341,2025-06-22
XCD,3.100162,2025-06-22
XDR,0.811819,2025-06-22
XOF,652.755853,2025-06-22
XPF,119.331742,2025-06-22
YER,278.386535,2025-06-22
ZAR,20.804536,2025-06-22
ZMK,10325.4997,2025-06-22
ZMW,26.519945,2025-06-22
ZWL,369.373604,2025-06-22
